1girl,1女孩
underwater,水下
kaenbyou_rin,火焰猫燐
holding_umbrella,撑伞
wedding_dress,婚纱
miko,巫女
city,城市
mature_male,成熟男性
cropped_torso,只画了一部分躯干
green_jacket,绿色夹克
glint,眼中闪现强烈的情感
animated_gif,gif格式图片
vibrator,跳蛋|振动器
snake,蛇
adjusting_clothes,拨弄衣服
meme_attire,ACG流行款服装
doll,人偶|玩偶
enmaided,女仆装
open_book,翻开的书
panties_aside,内裤挪到一边
bloomers,灯笼裤
backless_outfit,露背装
fighting_stance,战斗姿态|摆着架势的
hair_bell,头发上系着铃铛
cum_on_hair,射在头发上
sign,写上去的字
pout,努嘴|撅嘴
borrowed_character,借鉴的角色
bandaged_arm,缠着绷带的手臂
waving,挥手|招手
multicolored_eyes,有多种颜色的眼睛
chen,橙
motion_blur,运动模糊
ice_cream,冰激凌|冰淇淋
skirt_hold,优雅地提着裙子
forehead_mark,额前有图案
crossed_bangs,交叉的刘海
mature_female,成熟女性
colored_inner_hair,内层挑染
realistic,写实
aircraft,飞行器
strawberry,草莓
mouse_ears,老鼠耳朵
one_eye_covered,一只眼被遮住
raised_eyebrows,扬起的双眉
headpiece,装饰性头饰（偏幻想和民族风饰品）
orange_bow,橙色蝴蝶结
spoon,汤勺
nose,鼻子
text_focus,文字元素
panties_around_one_leg,内裤挂在一条腿上
card,卡|牌
turtleneck_sweater,高领毛衣
pink_bra,粉色胸罩
round_teeth,无缝圆齿
brother_and_sister,姐弟|兄妹
hands_in_pockets,双手插在兜里
nurse_cap,护士帽
remodel_(kantai_collection),改三|改二|改
front-tie_bikini_top,前系带比基尼上着
visor_cap,遮阳帽
yellow_flower,黄色的花
fence,栅栏
bandana,头巾
clitoris,阴蒂|阴核
center_opening,正中间开口的服装
eighth_note,八分音符
hair_tie,发带
white_pants,白色裤子
leash,宠物链|皮带
mustache,胡子
grey_jacket,灰色夹克
anklet,脚环|脚镯
short_eyebrows,短眉|豆豆眉
holding_staff,手持法杖
white_leotard,白色连身衣
hime_cut,姬发式|公主发型
green_headwear,绿色头饰
palm_tree,椰树
geta,木屐
sand,沙
card_(medium),卡|牌
dragon,龙
tatara_kogasa,多多良小伞
covering_mouth,挡住嘴巴
drink,饮料
sailor_hat,水手帽
stubble,胡茬
anchor_symbol,锚形符号
blue_skin,蓝色皮肤
dildo,假阴茎
green_shirt,绿色衬衫
top-down_bottom-up,脸朝下屁股朝上
antennae,触角
door,门
can,缶
arrow_(projectile),箭矢
fantasy,幻想
orange_background,橙色背景
overflow,精液溢出（未拔出）
sitting_on_person,坐在人身上
on_floor,在地板上
scar_across_eye,眼睛上的疤痕
fork,餐叉
alternate_color,异色
hip_focus,臀部焦点
round_eyewear,圆形眼镜
dragon_tail,龙尾
mouth_mask,口罩
blindfold,眼罩
frog_hair_ornament,青蛙发饰
asymmetrical_bangs,不对称刘海
adjusting_hair,理头发
spread_arms,伸展双臂
purple_flower,紫色的花
yu-gi-oh!,游戏王
camera,相机
arrow_(symbol),箭头
interracial,跨人种的
licking_lips,舔嘴唇
fake_tail,仿造的尾巴
wand,魔杖
arched_back,弓背
zoom_layer,放大立绘背景层
off-shoulder_dress,露肩连衣裙
sharp_fingernails,锐利的手指甲
folding_fan,扇子
straw_hat,草帽
arms_at_sides,双手垂放
green_ribbon,绿色丝带
double_v,啊嘿颜比V
long_dress,长连衣裙
music,音乐
apple,苹果
jacket_on_shoulders,用夹克披肩
emblem,纹章
head_out_of_frame,头超出框
sun,太阳
lowleg,低腰款式
blanket,毯子
hanging_breasts,（俯身）双乳下垂
sunflower,向日葵
anime_screencap,动漫截图
arm_warmers,暖袖
white_wings,白色翅膀
labcoat,白大褂
gag,口塞|猿辔
groping,摸索|猥亵
railing,用手扶着
yokozuwari,侧身坐
cannon,炮
alternate_hair_length,与原设不同头发长度变化
pink_footwear,粉色鞋类
veiny_penis,静脉凸起的阴茎
heart_hair_ornament,心形发饰
wince,畏缩表情
black_bodysuit,黑色紧身衣
bandeau,抹胸比基尼
gothic_lolita,哥特萝莉
horizon,地平线
brown_headwear,棕色头饰
purple_ribbon,紫色丝带
holding_clothes,拿着衣服
name_tag,记名牌
leg_lift,抬一条腿
bun_cover,发髻盖
muscular_female,肌肉发达的女性
shota,正太
goatee,山羊鬚|山羊胡
unbuttoned,解开纽扣后
pink_bikini,粉色比基尼
highleg_panties,高开衩的内裤
pasties,乳贴
dog_girl,犬娘
chinese_text,中文
branch,分支
angel,天使
floral_background,花朵点缀的背景|有花香的感觉
beanie,无檐帽
blue_kimono,蓝色和服
hand_on_own_cheek,把手放在自己的脸颊上
partially_visible_vulva,可以看见一部分外阴
clock,时钟
jack-o'-lantern,捷克南瓜灯
hitodama,人魂
black_sclera,黑色巩膜
smoking,吸烟|抽烟
red_hairband,红色发带
android,人造人
hand_on_headwear,手触碰帽子
off-shoulder_shirt,露肩衬衫
lactation,泌乳|哺乳
swimsuit_under_clothes,里面穿着泳衣
underbust,勒着下胸围的衣服
brown_legwear,棕色的裤袜
hat_flower,带着花的帽子
eyeball,眼球
untied,解开的衣物|没穿好的衣物
microskirt,超短裙
back-to-back,背靠背
red_cape,红色斗篷
petticoat,衬裙
purple_shirt,紫色衬衫
dot_nose,小圆点鼻
tabi,足袋
food_on_face,脸上有食物
ahegao,阿嘿颜
basket,篮子
nipple_slip,乳头走光
vambraces,下臂护甲
ass_focus,臀部聚焦
bookshelf,书架
gakuran,学兰
logo,标志
criss-cross_halter,交叉吊带
black_sleeves,黑色袖子
large_areolae,大乳晕
drawstring,衣服的抽绳
wolf_girl,狼女孩
pointless_censoring,敷衍的打码
argyle,菱形花纹
armored_dress,战甲裙
fairy_wings,妖精的翅膀
collared_dress,有领连衣裙
character_doll,角色公仔
suspender_skirt,吊带裙|挂肩宽阔外长裤
cabbie_hat,报童帽
grabbing_from_behind,从后抓
lace-up_boots,系带靴
purple_nails,紫色指甲
saliva_trail,唾液拉丝
silhouette,剪影|轮廓
bandaid_on_face,脸上贴着创可贴
pocky,百奇
unzipped,拉开拉链的
blue_pants,蓝色长裤
size_difference,体格差
hand_on_another's_shoulder,手放在对方的肩上
large_penis,大阴茎
white_scarf,白色围巾
headdress,头部穿戴物（偏笼统）
white_coat,白色外套
covered_mouth,蒙住的嘴
kneepits,膝盖内侧|膝窝
silent_comic,默剧漫画
taut_clothes,绷紧的衣服
gangbang,轮奸
blue_gloves,蓝色手套
crotch_seam,裆部的缝
onsen,温泉
gift_box,礼品盒
gohei,御币
red_vest,红色背心
butterfly_hair_ornament,蝴蝶发饰
anchor,锚
leaning_back,向后倚靠
drinking,喝
everyone,集合绘
retro_artstyle,复古风格
on_head,在头上
cow_print,奶牛系印花
military_vehicle,军用载具
cow_ears,牛耳朵
no_nose,无鼻子|没鼻子
winter_clothes,冬装
holding_flower,拿着花
sundress,太阳裙|背心裙
shrug_(clothing),只包肩的女式上衣
witch,女巫
guitar,吉他
naval_uniform,海军制服
highleg_swimsuit,高杈泳衣
center_frills,胸口带花边的服装
pen,笔
2koma,双分镜漫画
pool,泳池
electricity,电
arm_grab,抓住手臂
wind_lift,起风效果|上升气流
tiles,瓷砖
heart_censor,心形马赛克
toenail_polish,指甲油
black_cape,黑色斗篷
frog,青蛙
glass,玻璃
photo_(medium),照片
souryuu_asuka_langley,惣流明日香
spaghetti_strap,细肩带|细吊带|肩带式
red_lips,朱唇
adjusting_eyewear,扶眼镜
flag,旗
mittens,连指手套
headpat,摸头
muneate,胸甲
salute,敬礼
wedding_ring,结婚戒指
bound_wrists,绑手腕
reading,阅读
bangle,手镯
selfie,自拍
chestnut_mouth,栗子嘴
ankle_boots,短靴|踝靴
scythe,镰刀
facing_away,面向别处
korean_text,韩文
double-breasted,双排纽扣
flipped_hair,翘发
purple_bikini,紫色比基尼
waitress,女服务员
classroom,教室
absurdly_long_hair,超长的头发
poke_ball_(basic),基础红白精灵球
hair_stick,发簪
chromatic_aberration,色差
talking,有台词的
strap_gap,泛指覆盖面少的吊带胸罩
airplane,飞机
cheerleader,啦啦队
magic,魔法
car,汽车
beachball,沙滩球
smug,得意脸
pinafore_dress,背心裙|无袖连衣裙
wristwatch,手表
flat_cap,平顶帽|司机帽
fur-trimmed_jacket,皮草夹克
cleft_of_venus,蜜缝
nun,修女
inverted_nipples,内陷乳头
pulled_by_self,拉下自己的衣物
kita_high_school_uniform,县立北高校制服|县立北高校（凉宫春日的忧郁）
notice_lines,表示角色注意到了什么的线条
earmuffs,耳罩
light,光|亮
shirt_tucked_in,衬衫外有其他衣服
hand_to_own_mouth,手放嘴上
gagged,被塞口的
bikini_under_clothes,比基尼当内衣
nurse,护士
potted_plant,盆栽
horn_ornament,角上有饰物
bucket,水桶
bukkake,颜射
rigging,舰装
road,路
hands_on_own_chest,双手放在自己的胸口
stud_earrings,耳钉
battle,战斗|比试|战争|游戏
spoken_question_mark,表疑惑的会话气泡
armored_boots,装甲靴
bare_back,裸背
nipple_tweak,玩弄乳头
animal_costume,动物系装扮
tatami,榻榻米
eyeliner,眼线
ninja,忍者
mecha_musume,机娘
sideways_glance,斜视
triangular_headpiece,三角头巾
foot_focus,足部焦点
sexually_suggestive,性暗示
light_blue_hair,浅蓝色头发
cow_horns,牛角
style_parody,画风模仿
assault_rifle,突击步枪
lamp,灯
holding_poke_ball,拿着精灵球
snake_hair_ornament,蛇形发饰|蛙头发饰
femdom,女奸男|逆推
bench,长凳
candle,蜡烛
controller,控制器
bush,灌木
overalls,吊带裤|工作服
happy_sex,快乐做爱
scales,鳞片
hair_over_eyes,刘海遮眼|头发遮眼
naked_shirt,裸体衬衫
back_bow,（服饰）打在背后的结
bow_bra,带蝴蝶结的胸罩
cityscape,城市风光
mask_on_head,掀到头上的面具
bags_under_eyes,眼袋
bad_anatomy,坏的人体结构
riding,骑
biting,咬
crown_braid,冠型织辫
brown_belt,棕色皮带
bridal_veil,婚纱面纱
sailor_shirt,水手服款衬衫
white_sweater,白色毛衣
mini_crown,迷你皇冠
brown_dress,棕色连衣裙
open_fly,解开的裤子拉链
fairy,小精灵|妖精
stuffed_bunny,兔子玩偶
pink_headwear,粉色头饰
hair_behind_ear,耳后有头发
sarong,莎笼|沙滩浴巾
joints,关节
japanese_armor,日本铠甲
pov_hands,手主观视角
ice_wings,冰翼
covering_crotch,遮着裆部
shade,日荫
purple_panties,紫色内裤
toeless_legwear,脚踩袜|露趾裤袜
orgasm,高潮|绝顶
triangle_mouth,三角嘴
dark,黑暗
cable,线缆
red_kimono,红色和服
wet_shirt,湿衬衫
peach,桃
creature,创造物
hugging_own_legs,抱自己的腿
reaching_out,朝画外伸手
key,钥匙
fishnet_pantyhose,渔网袜
red_hakama,绯袴
pleated_dress,百褶连衣裙
space,太空|宇宙
halloween_costume,万圣节装扮
blue_leotard,蓝色连身衣
doujinshi,同人志
air_bubble,气泡
steaming_body,发情
randoseru,小学书包
5boys,5个男性
print_legwear,印花裤袜
bathing,洗澡|入浴
lolita_hairband,洛丽塔发带
claw_pose,嘎哦
pilot_suit,驾驶员专用服
holster,武装带
food_in_mouth,嘴里有食物
indian_style,盘腿坐
heart_of_string,串成心形的绳子（或线条）
school_desk,课桌
alternate_eye_color,与原设不同瞳色
breast_pocket,乳袋
own_hands_clasped,双手相扣
paw_print,爪印图案
print_kimono,印花和服
red_panties,红色内裤
dagger,匕首|短剑
against_wall,压在墙上
hands_on_own_face,双手放在自己的脸上
laughing,在笑的
hibiscus,扶桑花
red_choker,红色项圈
yellow_bikini,黄色比基尼
hair_up,盘起来的头发
wet_hair,湿头发
confetti,彩色纸屑（祝贺）
heart_hands,双手比心
petite,娇小
one_breast_out,露出一只乳房
akiyama_mio,秋山澪
star-shaped_pupils,星星眼
lace-trimmed_legwear,蕾丝边裤袜
blue_rose,蓝玫瑰
polka_dot_background,圆斑背景
alternate_hair_color,与原设不同发色变化
cross-laced_clothes,交叉花边服饰
snowflakes,雪花
plugsuit,EVA驾驶员服
carrot,胡萝卜
black_collar,黑色项圈
string,线
frilled_shirt,花边衬衫
bath,洗澡
paw_gloves,兽爪手套
drunk,喝醉的
white_outline,白色轮廓
autumn_leaves,秋叶
tate_eboshi,乌纱
marker_(medium),马克笔
incest,乱伦
bracer,护腕
whisker_markings,脸颊有胡须状痕迹（如狐妖脸上）
holding_bag,提着包
bodystocking,连体裤袜
scabbard,鞘
pumpkin,南瓜
crescent_hair_ornament,月牙发饰
stretching,拉伸
anal_object_insertion,肛门物体插入
sack,麻布
parasol,阳伞
cum_in_ass,肛门内射
raccoon_ears,浣熊耳朵
office_lady,办公室女职员
star_print,星形图案|星形印花
low_wings,腰间的翅膀
ribbon_choker,缎带项圈
cone_hair_bun,锥形发髻
red_legwear,红色裤袜
fujimaru_ritsuka_(female),咕哒子
tasuki,襷
asymmetrical_wings,不对称的翅膀
hand_on_another's_face,手接触到对方的脸
facepaint,面纹
wine_glass,红酒杯
wrist_scrunchie,束腕
computer,计算机
torii,鸟居
holding_bottle,拿着瓶子
sakuragaoka_high_school_uniform,樱丘女子高等学校校服
teapot,茶壶
holding_fan,拿着扇子
fake_horns,装饰性的角
zipper_pull_tab,拉链的拉片
navel_cutout,服装上有露出肚脐的开口
antlers,鹿角
watercraft,船艇
axe,斧头
habit,修道服
purple_gloves,紫色手套
tiger_ears,虎耳
arm_tattoo,手臂有纹身
magatama,勾玉
string_panties,细绳三角内裤
haori,羽织
belly,腹部
black_sweater,黑色毛衣
cum_on_clothes,射在衣服上
mismatched_legwear,双色裤袜
lace-trimmed_panties,蕾丝边内裤
pixel_art,像素画|点阵图
slippers,拖鞋
black_border,黑色边框
brown_shirt,棕色衬衫
nipple_piercing,乳头穿刺
happy_new_year,新年快乐
transparent,透明的
chinese_zodiac,十二生肖
shibari,捆绑|绳缚
fujimaru_ritsuka_(male),咕哒男
holding_tray,托着盘子
tight,衣物紧紧的
wagashi,日式点心
purple_jacket,紫色夹克
vampire,吸血鬼
one-piece_tan,泳衣晒痕
grey_dress,灰色连衣裙
pink_kimono,粉色和服
hip_vent,髋部开口|髋部侧露
garrison_cap,船形帽|卫戍帽|军便帽
bikini_skirt,比基尼裙
tied_shirt,把衣服（衣角和下摆）打结
fang_out,露出虎牙|露出尖牙
precum,先走汁
bald,秃头
highleg_bikini,高开衩的比基尼
mouse_tail,鼠尾巴
tachi-e,立绘
thighlet,大腿
nosebleed,鼻血
knee_pads,护膝
magic_circle,魔法阵
curled_horns,弯曲的角
giant,巨人
evil_smile,邪恶笑容
black_kimono,黑色和服
tiger_print,虎纹
purple_headwear,紫色头饰
red_shorts,红色短裤
raglan_sleeves,连肩衣袖
fishnet_legwear,渔网袜
leg_ribbon,腿部丝带
condom_wrapper,避孕套包装
asymmetrical_clothes,不对称的服饰
pantyhose_pull,褪下裤袜
layered_dress,分层连衣裙
draph,牛角族
very_short_hair,很短的头发
holding_knife,拿着刀
hoshiguma_yuugi,星熊勇仪
princess_carry,公主抱
hand_on_own_chin,手碰着自己的下巴
striped_background,条纹背景
midriff_peek,微微露出腹部
hair_censor,头发遮住了乳头（三点）
legwear_under_shorts,短裤穿在裤袜外面
deep_skin,角色的另一面（多指色情）
short_kimono,短下摆和服
after_vaginal,事后阴道特写
aura,灵气
dancing,跳舞
shoulder_blades,肩胛骨
graphite_(medium),铅笔
green_bikini,绿色比基尼
blue_bra,蓝色胸罩
looking_afar,遥望
kicking,踢
scared,害怕
presenting,（性诱惑）展示
half_gloves,很短的手套|半截手套
layered_sleeves,分层的衣袖
head_wreath,头上戴着花冠
layered_skirt,分层式半身裙
pink_jacket,粉色夹克
wall,墙
manly,强壮的
tea,茶
torpedo,鱼雷
balloon,气球
over_shoulder,扛在肩上
yellow_jacket,黄色夹克
crop_top_overhang,乳帘
one_knee,单膝跪
o-ring_top,带O型环的上衣
male_underwear,男用内裤
open_kimono,敞开的和服
mechanical_arms,机械臂
pigeon-toed,内八腿
mother_and_daughter,母女
w,手指比W
used_condom,用过的避孕套
disposable_cup,一次性纸杯
hat_feather,带有羽毛的帽子
paintbrush,画笔
yellow_dress,黄色连衣裙
tohsaka_rin,远坂凛
open_hand,张开的手
mermaid,美人鱼
shoulder_cutout,露肩装
green_skin,绿色皮肤
backless_dress,露背连衣裙
o-ring_bikini,带O型环的比基尼
leather,皮革
gap_(touhou),隙间（东方）
reference_sheet,三视图进阶
blue_vest,蓝色背心
greaves,胫甲
lace-trimmed_bra,蕾丝边胸罩
in_container,（角色）在容器里
animal_on_head,头上有动物
shimenawa,注连绳|七五三绳
company_name,有版权署名
sound_effects,拟声词
ooarai_school_uniform,大洗联队军服
naked_towel,裸体且裹着毛巾
futa_with_female,扶她和女性
photo_(object),照片
yellow_skirt,黄色裙子
lineart,素线画
sunbeam,阳光
squiggle,表不满和发牢骚的符号
glowing_eye,发光的眼睛（单眼）
field,田园|田野
limited_palette,有限色盘作画
bandaged_leg,绑着绷带的腿
symmetrical_docking,胸贴胸|胸贴一起
out-of-frame_censoring,关键部位在画面外
watercolor_(medium),水彩
maple_leaf,枫叶
star_earrings,星形耳环
bamboo,竹子
mmf_threesome,二男加一女
holding_microphone,拿着麦克风
architecture,建筑
multiple_persona,多重形象的角色
leg_grab,抓腿
holding_polearm,手持长柄武器
gameplay_mechanics,（融入了）游戏机制元素
imminent_kiss,快亲上了
daiyousei,大妖精
bedroom,卧室
breast_sucking,吸奶
polka_dot_bow,圆斑蝴蝶结
huge_ass,大屁股
thumbs_up,竖大拇指
red_leotard,红色连身衣
clothes_around_waist,衣服系在腰上
sleeveless_turtleneck,无袖高领毛衣
on_couch,在沙发上
arm_cannon,手炮
halftone,一种漫画中常见的网点状的组色组图画法
grey_pants,灰色的裤子
naked_apron,裸体围裙
bound_arms,绑手臂
peeing,撒尿|失禁
pee,尿
singing,唱歌
green_nails,绿色的指甲
shoulder_tattoo,肩部纹身
explosion,爆炸
checkered_floor,格子地板
shackles,手铐|镣铐|枷锁
undercut,帽盔式发型
double_penetration,双穴同插|二穴
pencil,铅笔
under_covers,盖着被子的
hair_over_breasts,头发披在胸上
bra_lift,胸罩掀上去
slingshot_swimsuit,弹弓泳衣|吊带泳衣|V字泳衣
brown_pants,棕色长裤
idol,偶像
ruins,废墟|遗迹
summer,夏天
cross_necklace,十字架项链
falling,正在下坠的
cowbell,牛铃
strap,大件物品的吊带
striped_dress,条纹连衣裙
plaid_vest,格子呢背心
raccoon_tail,浣熊尾巴
iron_cross,铁十字架
print_shirt,印花衬衫
vines,藤曼
head_fins,鱼人耳|人鱼耳|鳍状耳朵
erune,兽耳族
blue_hairband,蓝色发带
leggings,紧身裤
mushroom,蘑菇
purple_legwear,紫色裤袜
tank,坦克
dark_persona,黑化
artist_self-insert,以作者本人为蓝本
skirt_pull,拉开裙子
house,房子
white_cape,白色斗篷
pubic_tattoo,淫纹
stitches,缝合的缝线
purple_footwear,紫色鞋类
sleeve_cuffs,袖口
black_cat,黑猫
fox_mask,狐狸面具
eyewear_removed,摘眼镜
annoyed,恼怒的
spoken_exclamation_mark,会话气泡里带感叹号
ranguage,日式英语
spiked_bracelet,带钉手镯
genderswap_(ftm),男体化
holding_hair,握着头发|手指绕着头发
vaginal_object_insertion,阴道异物插入
face-to-face,脸贴脸
black_scarf,黑色围巾
black_hoodie,黑色连帽衫
3koma,三格漫画
platform_footwear,平台鞋
huge_weapon,大尺寸武器
television,电视
arm_under_breasts,托胸
yukkuri_shiteitte_ne,油库里
one-eyed,独眼
bathroom,浴室
sad,悲伤的
bikini_armor,比基尼盔甲
hachimaki,扎头巾（名词）
tilted_headwear,歪着的头饰
trigger_discipline,手指没放在扳机上
bikini_pull,扯着比基尼
shoulder_pads,垫肩
asymmetrical_docking,胸部互碰|胸顶着胸
beige_background,米色背景
sakazuki,盃
doughnut,甜甜圈
babydoll,背带裙睡衣
ringed_eyes,圈圈眼
french_kiss,舌吻
head_scarf,包头巾（名词）
pants_pull,拉着裤子
sandwiched,三人夹三明治
cutoffs,热裤
duel_monster,游戏王决斗怪兽
hand_on_own_knee,手放在自己的膝盖上
invisible_chair,隐形椅子
headphones_around_neck,耳机挂在脖子上
fundoshi,兜裆布
scar_on_cheek,脸颊上的疤痕
narrow_waist,妖娆的腰
tiptoes,踮起脚尖
camouflage,迷彩
white_capelet,白色披风
sweater_dress,毛衣连衣裙
persona_5,女神异闻录5
bread,面包
id_card,学生证|身份证
white_rose,白玫瑰
necktie_between_breasts,领带贴（夹）在乳沟里
cunnilingus,舔阴
ayanami_rei,绫波丽
m_legs,M字腿
holding_animal,抱着动物
starry_background,星空背景
orange_skirt,橙色短裙
shorts_under_skirt,短裙里穿着短裤
tinted_eyewear,有色眼镜
crescent_moon,新月
partially_unbuttoned,解开部分纽扣
futon,被窝
earphones,耳机
x-ray,X射线|透视
white_eyes,白眼
splashing,飞溅
checkered_background,方格背景
white_choker,白色项圈
dripping,液体滴落
grey_footwear,灰色鞋类
wide_shot,广角
big_hair,头发很多的
sliding_doors,移动门
wardrobe_malfunction,意外走光
covered_eyes,蒙住的眼
casual_one-piece_swimsuit,连体泳衣
anchor_hair_ornament,锚形发饰
bobby_socks,美式短袜
foot_out_of_frame,单脚不在图内
leaf_on_head,头上的叶子
arm_garter,手臂袜带
cow_girl,牛娘
two_tails,有两条尾巴
animal_focus,以动物为焦点
split,分开
grey_skin,灰色皮肤
body_writing,身上写字
brick_wall,砖墙
broom_riding,骑扫帚
untied_bikini,解开比基尼
constricted_pupils,收缩的瞳孔
no_pupils,无瞳孔
handcuffs,手铐
on_ground,在地上
navel_piercing,脐钉
aqua_nails,水蓝色指甲
fur-trimmed_sleeves,毛皮镶边袖子
leaf_hair_ornament,叶子发饰
soaking_feet,泡脚
purple_kimono,紫色和服
frilled_panties,花边内裤
breast_rest,搁着胸部
winter,冬季
facial_tattoo,脸部有纹身
foreskin,包皮
frilled_bow,花边蝴蝶结
cross-section,横截面
bonnet,bonnet女帽
yin_yang,阴阳|太极
disembodied_limb,断肢
holding_gift,拿着礼物
holding_fruit,拿着水果
object_on_head,头上有非头饰类的物体
pink_theme,粉色主题
arm_ribbon,手臂丝带
pink_rose,粉红玫瑰
cookie,曲奇
shoes_removed,脱下的鞋
tiger_tail,虎尾
orange_shirt,橙色衬衫
handheld_game_console,手里拿着游戏机
blue_neckwear,蓝色的领饰
spiked_collar,带钉项圈
rolling_eyes,翻白眼
standing_sex,站立性爱
ffm_threesome,女女男3P
forehead_jewel,额前有宝石
watermelon,西瓜
1990s_(style),20世纪90年代（风格）
arm_guards,护臂
single_shoe,一只脚没穿鞋子
fireworks,烟花
purple_theme,紫色
multiple_others,多个性别暧昧的角色
folded,身体向后折叠抬腿露阴
bridge,桥
rimless_eyewear,无框眼镜
sheet_grab,抓着床单
partially_colored,部分着色
rice,米
sailor_senshi_uniform,美少女战士制服
blue_scarf,蓝色围巾
chalkboard,黑板
syringe,注射器
afterimage,残像
gyaru,辣妹
badge,徽章
engrish_text,L和R不分的英文
interspecies,异种奸|异种爱
green_panties,绿色的内裤
armpit_crease,腋窝皱褶
sitting_on_lap,坐在大腿上
neck_ring,颈环
symbol_in_eye,眼睛里有符号
asymmetrical_gloves,不对称的手套
anniversary,纪念日
print_bikini,印花比基尼
water_bottle,水瓶
toned_male,健美男
purple_skin,紫色皮肤
shibuya_rin,涉谷凛
implied_sex,其实插进去了吧|遮挡了性交的结合处
stool,凳子
monitor,显示器
fat,肥胖的|大号美女
east_asian_architecture,东亚建物
short_over_long_sleeves,内侧穿着长袖外面套着短袖衣服
shoe_soles,鞋底
sake,日本酒
ripples,涟漪|波纹
submachine_gun,冲锋枪
oversized_clothes,过大号的衣服
lion_ears,狮子耳朵
beer,啤酒
green_vest,绿色背心
red_theme,红色|红色主题
rainbow,彩虹
hammer,锤子
hooded_cloak,连帽披巾
brothers,兄弟
bishounen,美少年
heart_earrings,心形耳环
egg,蛋
skirt_removed,脱下的短裙
red_horns,红色的角
dappled_sunlight,透过树叶洒下的阳光
scroll,卷轴
red_skin,红色皮肤
chibi_inset,内含Q版形象
torn_shirt,破损的衬衫
giantess,女巨人
karakasa_obake,唐伞妖怪
pointing_at_viewer,指向看图的人
official_style,原作画风|官方画风
fucked_silly,被干到恍惚
red_pants,红色裤子
sniper_rifle,狙击步枪
mini_top_hat,迷你礼帽
lowleg_panties,低腰内裤
tying_hair,扎头发
feeding,喂食
brown_sweater,棕色毛衣
multicolored_background,多色背景
fringe_trim,碎边饰物|边缘装饰物
skin-covered_horns,被皮肤包着的角
planet,行星
frilled_bra,花边胸罩
pink_thighhighs,粉色过膝袜
sepia,深棕色|乌贼墨色
print_panties,印花内裤
licking_penis,舔阴茎
erection_under_clothes,老二立帐篷
error,错误
chess_piece,棋子
bathtub,浴缸
blue_choker,蓝色项圈
white_bodysuit,白色紧身衣
downblouse,胸部走光
fur-trimmed_coat,镶边皮草大衣
ayase_eli,绚濑绘里
cherry,樱花|樱桃
motorcycle,摩托车
brown_coat,棕色外套
undershirt,汗衫
off-shoulder_sweater,露肩毛衣
micro_shorts,小尺寸短裤
torogao,恍惚|淫荡表情
grey_shorts,灰色短裤
jiangshi,僵尸
fur-trimmed_gloves,毛皮镶边手套
straight-on,正面面对
body_blush,身体泛红
white_tank_top,白色无袖紧身背心
front_ponytail,前马尾
playing_instrument,演奏乐器
police,警察
christmas_tree,圣诞树
cushion,坐垫
chaldea_uniform,迦勒底制服
belt_pouch,腰包
grey_legwear,灰色的裤袜
ears_through_headwear,为耳朵留洞的头饰
power_lines,电线
ribs,肋骨
otonokizaka_school_uniform,国立音乃木坂学院女子制服
cyborg,赛博人类
panties_removed,内裤已被脱下
pinky_out,伸出小拇指
perspective,透视
faulds,腹甲
race_queen,赛车女郎
coin,硬币
holding_plate,端着碟子
lamppost,路灯
game_controller,游戏控制器
girl_sandwich,被两个女孩夹在中间
sleepy,困
long_coat,长外套
scissors,剪刀
uwabaki,室内鞋
horse,马
bride,新娘
seductive_smile,诱人的微笑
reverse_cowgirl_position,背面骑乘位
bear_ears,熊耳朵
chest_hair,胸毛
birthday,生日
reclining,斜倒斜躺姿势
pun,双关语
taut_shirt,绷紧的衬衫
punching,挥拳
dirty,肮脏的
bead_bracelet,珠子手链
shell,贝壳
tail_wagging,摇尾巴
latex,乳胶
clothed_male_nude_female,穿着衣服的男性和裸女
sheep_horns,羊角
shouting,喊叫
platinum_blonde_hair,白金色头发
broken,破碎的
kariginu,狩衣
on_chair,坐在椅子上
shirt_pull,拉开衬衫
green_theme,绿色主题
track_suit,运动服
black_capelet,黑色披肩
white_belt,白色腰带
pink_legwear,粉色裤袜
nervous,紧张|不安
plaid_shirt,格子呢衬衫
multi-strapped_bikini,细带款比基尼
frilled_hairband,花边发带
bead_necklace,珠子项链
beamed_eighth_notes,八分音符
huge_ahoge,大呆毛
holding_bouquet,手捧花束
pillow_hug,抱枕
leaning_to_the_side,向一侧倾斜身体
loose_socks,泡泡袜
animalization,动物化
male_swimwear,男用泳裤
brown_shorts,棕色短裤
pervert,变态
take_your_pick,选哪个好呢
saucer,茶杯托
blank_eyes,无神的双眼
holding_instrument,拿着乐器
cum_string,拉丝的精液
blue_sweater,蓝色毛衣
bruise,挫伤
pointy_hair,尖发
nekomata,猫又
playing_card,纸牌|扑克牌
trait_connection,角色特征有关联
coffee,咖啡
harness,背带
hair_slicked_back,头发往后捋|往后梳的头发|背头发型
torso_grab,抓着躯干
jester_cap,小丑帽
fat_mons,丰满阴部
blue_cape,蓝色斗篷
oversized_object,大件物体
ball_gag,口球
blue_legwear,蓝色紧身裤
white_hoodie,白色连帽衫
skeleton,骨架
old_man,老人
red_capelet,红色披肩
black_neckwear,黑色领子
matou_sakura,间桐樱
grey_sweater,灰色毛衣
hair_pulled_back,头发后扎
cooking,烹饪
horn_ribbon,角上系着缎带
lap_pillow,膝枕
